HPLC_ID	Site	Experiment	Plant_ID	Type	Stg	Weight	Harvested	Extracted	Leachtime	Location	Batch	rand
7191	MAH	Field2014	kw_1753	rosette	B	7.4	12-Jun-14	19-Aug-14	68	p49_E_02	p49	0.461556004
6961	SIL	Field2014	kw_3671	rosette	FO	3.4	10-Jun-14	19-Aug-14	70	p49_E_03	p49	0.461657642
6656	MAH	Field2014	kw_1345	rosette	R	4.7	12-Jun-14	19-Aug-14	68	p49_E_04	p49	0.461802899
7000	SIL	Field2014	kw_3775	rosette	B	4	10-Jun-14	19-Aug-14	70	p49_E_05	p49	0.46228376
7095	SIL	Field2014	kw_3826	rosette	R	1.7	10-Jun-14	19-Aug-14	70	p49_E_06	p49	0.462461851
7045	SIL	Field2014	kw_0767	rosette	R	2	10-Jun-14	19-Aug-14	70	p49_E_07	p49	0.464513415
6252	ALD	Field2014	kw_1171	rosette	FO	3.3	6-Jun-14	19-Aug-14	74	p49_E_08	p49	0.465866877
6219	ALD	Field2014	kw_1127	rosette	FO	1.8	6-Jun-14	19-Aug-14	74	p49_E_09	p49	0.466004398
6905	SIL	Field2014	kw_3520	rosette	B	1.1	10-Jun-14	19-Aug-14	70	p49_E_10	p49	0.466307724
6563	ALD	Field2014	kw_1213	rosette	FS2	7.1	6-Jun-14	19-Aug-14	74	p49_E_11	p49	0.466477156
6554	ALD	Field2014	kw_0532	rosette	FS1	5.1	6-Jun-14	19-Aug-14	74	p49_E_12	p49	0.467461909
6873	SIL	Field2014	kw_3477	rosette	B	4.3	10-Jun-14	19-Aug-14	70	p49_F_01	p49	0.467502118
6960	SIL	Field2014	kw_3658	rosette	FO	3.3	10-Jun-14	19-Aug-14	70	p49_F_02	p49	0.467843892
7607	JAM	Field2014	kw_2715	rosette	B	3.7	28-Jun-14	19-Aug-14	52	p49_F_03	p49	0.46821315
7549	MAH	Field2014	kw_1807	rosette	R	5.3	12-Jun-14	19-Aug-14	68	p49_F_04	p49	0.468222272
7751	JAM	Field2014	kw_2468	rosette	R	4	28-Jun-14	19-Aug-14	52	p49_F_05	p49	0.468693617
6677	MAH	Field2014	kw_1380	rosette	R	3.9	12-Jun-14	19-Aug-14	68	p49_F_06	p49	0.469350629
7783	JAM	Field2014	kw_2921	rosette	R	2.7	28-Jun-14	19-Aug-14	52	p49_F_07	p49	0.469662966
6371	SIL	Field2014	kw_3213	rosette	FO	2.5	10-Jun-14	19-Aug-14	70	p49_F_08	p49	0.469688793
6453	ALD	Field2014	kw_0451	rosette	SO	5.2	6-Jun-14	19-Aug-14	74	p49_F_09	p49	0.470124837
7190	MAH	Field2014	kw_1751	rosette	R	4.4	12-Jun-14	19-Aug-14	68	p49_F_10	p49	0.471349275
7085	SIL	Field2014	kw_3989	rosette	R	2.7	10-Jun-14	19-Aug-14	70	p49_F_11	p49	0.472266899
6900	SIL	Field2014	kw_3507	rosette	SO	2.9	10-Jun-14	19-Aug-14	70	p49_F_12	p49	0.472388109
6962	SIL	Field2014	kw_3674	rosette	FO	4.8	10-Jun-14	19-Aug-14	70	p49_G_01	p49	0.472574048
6940	SIL	Field2014	kw_3606	rosette	SO	2.9	10-Jun-14	19-Aug-14	70	p49_G_02	p49	0.472651195
6818	ALD	Field2014	kw_0392	rosette	FO	4.1	6-Jun-14	19-Aug-14	74	p49_G_03	p49	0.472775047
7315	MAH	Field2014	kw_1544	rosette	R	2.3	12-Jun-14	19-Aug-14	68	p49_G_04	p49	0.472795312
6620	ALD	Field2014	kw_1011	rosette	FO	4.8	8-Jun-14	19-Aug-14	72	p49_G_05	p49	0.472855652
6942	SIL	Field2014	kw_3632	rosette	R	2	10-Jun-14	19-Aug-14	70	p49_G_06	p49	0.472901374
6997	SIL	Field2014	kw_3780	rosette	FO	2.3	10-Jun-14	19-Aug-14	70	p49_G_07	p49	0.473573306
6967	SIL	Field2014	kw_3741	rosette	R	4	10-Jun-14	19-Aug-14	70	p49_G_08	p49	0.474728344
6939	SIL	Field2014	kw_3609	rosette	B	2.7	10-Jun-14	19-Aug-14	70	p49_G_09	p49	0.475049345
6234	ALD	Field2014	kw_1148	rosette	B	5.1	6-Jun-14	19-Aug-14	74	p49_G_10	p49	0.476464191
7122	SIL	Field2014	kw_3811	rosette	FO	2.3	10-Jun-14	19-Aug-14	70	p49_G_11	p49	0.47698564
7067	SIL	Field2014	kw_3859	rosette	B	1.9	10-Jun-14	19-Aug-14	70	p49_G_12	p49	0.477749959
6342	ALD	Field2014	kw_0061	rosette	R	2.1	6-Jun-14	19-Aug-14	74	p49_H_01	p49	0.47825594
6242	ALD	Field2014	kw_1159	rosette	FO	3.2	6-Jun-14	19-Aug-14	74	p49_H_02	p49	0.479027025
6782	ALD	Field2014	kw_0039	rosette	B	1.9	6-Jun-14	19-Aug-14	74	p49_H_03	p49	0.479257469
6608	ALD	Field2014	kw_1094	rosette	FO	3.8	8-Jun-14	19-Aug-14	72	p49_H_04	p49	0.479919369
7630	JAM	Field2014	kw_2992	rosette	R	2.5	28-Jun-14	19-Aug-14	52	p49_H_05	p49	0.480589232
6794	ALD	Field2014	kw_0118	rosette	FO	3.8	6-Jun-14	19-Aug-14	74	p49_H_06	p49	0.4807381
7599	JAM	Field2014	kw_2691	rosette	R	2.1	28-Jun-14	19-Aug-14	52	p49_H_07	p49	0.481466123
7231	MAH	Field2014	kw_2072	rosette	R	2.1	12-Jun-14	19-Aug-14	68	p49_H_08	p49	0.481700307
7611	JAM	Field2014	kw_2731	rosette	R	2.8	28-Jun-14	19-Aug-14	52	p49_H_09	p49	0.482354905
6841	ALD	Field2014	kw_0421	rosette	R	7.9	6-Jun-14	19-Aug-14	74	p49_H_10	p49	0.482760719
6375	SIL	Field2014	kw_3210	rosette	B	1.4	10-Jun-14	19-Aug-14	70	p49_H_11	p49	0.482943224
7034	SIL	Field2014	kw_0777	rosette	FS2	3.4	10-Jun-14	19-Aug-14	70	p49_H_12	p49	0.485011785
6846	ALD	Field2014	kw_0429	rosette	R	8.8	6-Jun-14	1-Sep-14	87	p50_A_03	p50	0.485580562
7391	JAM	Field2014	kw_2565	rosette	R	2.3	28-Jun-14	1-Sep-14	65	p50_A_04	p50	0.487030913
6253	ALD	Field2014	kw_1172	rosette	B	1.9	6-Jun-14	1-Sep-14	87	p50_A_05	p50	0.487306833
6586	ALD	Field2014	kw_0907	rosette	B	7.1	8-Jun-14	1-Sep-14	85	p50_A_06	p50	0.48768946
7008	SIL	Field2014	kw_0663	rosette	SO	1.7	10-Jun-14	1-Sep-14	83	p50_A_07	p50	0.488132629
6909	SIL	Field2014	kw_3547	rosette	R	1.3	10-Jun-14	1-Sep-14	83	p50_A_08	p50	0.489027361
6663	MAH	Field2014	kw_1318	rosette	R	2.8	12-Jun-14	1-Sep-14	81	p50_A_09	p50	0.489089237
7561	MAH	Field2014	kw_1825	rosette	R	2.9	12-Jun-14	1-Sep-14	81	p50_A_10	p50	0.489333531
7217	MAH	Field2014	kw_2015	rosette	R	3.2	12-Jun-14	1-Sep-14	81	p50_A_11	p50	0.489453948
6542	ALD	Field2014	kw_0509	rosette	B	3.6	6-Jun-14	1-Sep-14	87	p50_A_12	p50	0.489628155
7834	JAM	Field2014	kw_2841	rosette	B	1.7	28-Jun-14	1-Sep-14	65	p50_B_01	p50	0.49046119
7078	SIL	Field2014	kw_3857	rosette	FO	2.7	10-Jun-14	1-Sep-14	83	p50_B_02	p50	0.490730535
6575	ALD	Field2014	kw_0870	rosette	FO	3	8-Jun-14	1-Sep-14	85	p50_B_03	p50	0.491483167
6269	ALD	Field2014	kw_1194	rosette	B	3.2	6-Jun-14	1-Sep-14	87	p50_B_04	p50	0.491488117
7136	SIL	Field2014	kw_3906	rosette	R	2.7	10-Jun-14	1-Sep-14	83	p50_B_05	p50	0.491567734
7714	JAM	Field2014	kw_3179	rosette	B	3.9	28-Jun-14	1-Sep-14	65	p50_B_06	p50	0.491812977
7299	MAH	Field2014	kw_1516	rosette	R	3.7	12-Jun-14	1-Sep-14	81	p50_B_07	p50	0.491876472
7816	JAM	Field2014	kw_2895	rosette	R	3.3	28-Jun-14	1-Sep-14	65	p50_B_08	p50	0.492175113
6366	SIL	Field2014	kw_3250	rosette	B	1.4	10-Jun-14	1-Sep-14	83	p50_B_09	p50	0.492519405
7519	MAH	Field2014	kw_1925	rosette	R	3	12-Jun-14	1-Sep-14	81	p50_B_10	p50	0.492944954
6603	ALD	Field2014	kw_1067	rosette	FS1	6	8-Jun-14	1-Sep-14	85	p50_B_11	p50	0.493387228
6973	SIL	Field2014	kw_3732	rosette	FS1	2.1	10-Jun-14	1-Sep-14	83	p50_B_12	p50	0.493890571
6803	ALD	Field2014	kw_0351	rosette	FS2	5.8	6-Jun-14	1-Sep-14	87	p50_C_01	p50	0.494099915
6553	ALD	Field2014	kw_0530	rosette	R	5	6-Jun-14	1-Sep-14	87	p50_C_02	p50	0.495943334
7125	SIL	Field2014	kw_3903	rosette	R	3.6	10-Jun-14	1-Sep-14	83	p50_C_03	p50	0.496812737
7148	MAH	Field2014	kw_1640	rosette	R	5	12-Jun-14	1-Sep-14	81	p50_C_04	p50	0.498714841
6271	ALD	Field2014	kw_0872	rosette	FS2	4.8	8-Jun-14	1-Sep-14	85	p50_C_05	p50	0.499062723
