Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0375	a.08	BSC	ALD	MW		X						
kw_0376	a.08	PCS	ALD	MW		R	0	20	9	5	15	8.333333333
kw_0377	a.08	SIL	ALD	MW		X						
kw_0378	a.08	BVC	ALD	MW		FO	0	218	0	0	0	0
kw_0379	a.08	BHS	ALD	MW		FO	0	110	1	1	10	10
kw_0380	a.08	PAR	ALD	MW		FO	0	193	11	1	25	2.272727273
kw_0381	a.08	PCS	ALD	MW		X						
kw_0382	a.08	WHC	ALD	MW		FO	0	150	0	0	0	0
kw_0383	a.08	SAD	ALD	MW		X						
kw_0384	a.08	EGM	ALD	MW		FS	0	299	1	0	0	0
kw_0385	a.08	JAM	ALD	MW		FS	0	102	10	2	20	4
kw_0386	a.08	BSC	ALD	MW		X						
kw_0387	a.08	HMC	ALD	MW		FO	0	144	3	3	15	15
kw_0388	a.08	DDW	ALD	MW		X						
kw_0389	a.08	LTM	ALD	MW		FO	0	103	1	0	0	0
kw_0390	a.08	THT	ALD	MW		FO	0	256	0	0	0	0
kw_0391	a.08	FLF	ALD	MW		FO	0	250	5	1	30	6
kw_0392	a.08	HMC	ALD	MW		FO	0	238	1	0	0	0
kw_0393	a.08	BVM	ALD	MW		R	0	38	28	3	20	2.142857143
kw_0394	a.08	RUB	ALD	MW		B	0	140	11	7	25	15.90909091
kw_0395	a.08	MFP	ALD	MW		FO	0	162	19	2	5	0.526315789
kw_0396	a.08	ECM	ALD	MW		FO	0	287	0	0	0	0
kw_0397	a.08	EGM	ALD	MW		B	0	87	6	2	25	8.333333333
kw_0398	a.08	IRF	ALD	MW		X						
kw_0399	a.08	BNK	ALD	MW		X						
kw_0400	a.08	BVM	ALD	MW		FO	0	203	0	0	0	0
kw_0401	a.09	HMC	ALD	RK		FO	0	333	4	3	30	22.5
kw_0402	a.09	VNH	ALD	RK		R	0	50	12	4	20	6.666666667
kw_0403	a.09	SIL	ALD	RK		FO	0	228	4	3	10	7.5
kw_0404	a.09	SAD	ALD	RK		FS	0	313	0	0	0	0
kw_0405	a.09	SIL	ALD	RK		FS	0	327	4	1	10	2.5
kw_0406	a.09	JAM	ALD	RK		R	1	25	9	0	0	0
kw_0407	a.09	DDW	ALD	RK		FO	0	184	5	2	10	4
kw_0408	a.09	BHM	ALD	RK		FS	0	324	0	0	0	0
kw_0409	a.09	IRF	ALD	RK		FS	0	296	5	5	20	20
kw_0410	a.09	BVC	ALD	RK		FO	0	248	2	2	10	10
kw_0411	a.09	BHS	ALD	RK		FS	0	163	4	2	20	10
kw_0412	a.09	THT	ALD	RK		FO	0	176	4	2	20	10
kw_0413	a.09	PCS	ALD	RK		FS	0	375	1	0	0	0
kw_0414	a.09	BSC	ALD	RK		X						
kw_0415	a.09	LTM	ALD	RK		B	1	221	5	3	10	6
kw_0416	a.09	PAR	ALD	RK		FS	0	380	6	2	10	3.333333333
kw_0417	a.09	JAM	ALD	RK		B	0	75	8	3	30	11.25
kw_0418	a.09	BNK	ALD	RK		X						
kw_0419	a.09	BSC	ALD	RK		SO	1	227	3	2	20	13.33333333
kw_0420	a.09	EGM	ALD	RK		FO	0	314	6	2	30	10
kw_0421	a.09	RUB	ALD	RK		R	0	59	21	15	10	7.142857143
