HPLC_ID	RetTime	Area	GS
6872	5.831	9.05	6MSOH	
6872	6.151	90.68	1MP	
6798	1.757	610.75	sinigrin	
6798	3.336	343.96	1ME	
6798	6.062	42.32	1MP	
7347	1.887	836.86	sinigrin	
7347	3.542	4688.4	1ME	
7347	5.874	866.57	6MSOH	
7347	6.175	482.11	1MP	
7375	1.904	652.7	sinigrin	
7375	3.55	60.55	1ME	
7375	5.879	3472.21	6MSOH	
7005	1.25	19.67	2OH1ME	
7005	1.772	612.16	sinigrin	
6302	1.812	640.05	sinigrin	
6302	5.816	2229.35	6MSOH	
7492	1.283	305.69	2OH1ME	
7492	1.818	654.96	sinigrin	
7492	3.439	110.29	1ME	
7492	5.825	75.57	6MSOH	
6603	1.887	678.12	sinigrin	
6603	3.542	237.81	1ME	
6603	5.862	10.42	6MSOH	
6603	6.16	9.16	1MP	
7466	1.834	642.23	sinigrin	
7466	5.826	202.41	6MSOH	
7797	1.329	828.84	2OH1ME	
7797	1.882	847.46	sinigrin	
